year,CommonName,ScientificName,EPBCThreatStatus,occurrenceCount,taxon_class_ET,BodyMass_g_ET,size_bucket,diet_top,foraging_top,activity_top,diet_diversity,foraging_diversity,activity_diversity,omnivore_flag,eats_insects,eats_fruit,eats_fish,can_fly,can_swim,nocturnal,is_crepuscular,is_cathemeral,aerial_forager,forages_aerial,ground_forager,forages_ground,wetland_user,forages_underwater,forages_water_surf,forages_canopy,forages_understory,specialist_flag,generalist_flag,is_marsupial,is_bat,habitat_alpine_subalpine,habitat_coastal_marine,habitat_desert_arid_zone,habitat_forest_woodland,habitat_grassland_floodplain_savanna,habitat_rainforest_tropical,habitat_unknown,ibra_arnhem_coast,ibra_arnhem_plateau,ibra_australian_alps,ibra_avon_wheatbelt,ibra_ben_lomond,ibra_brigalow_belt_north,ibra_brigalow_belt_south,ibra_broken_hill_complex,ibra_burt_plain,ibra_cape_york_peninsula,ibra_carnarvon,ibra_central_kimberley,ibra_central_mackay_coast,ibra_central_ranges,ibra_channel_country,ibra_cobar_peneplain,ibra_coolgardie,ibra_coral_sea,ibra_daly_basin,ibra_dampierland,ibra_darling_riverine_plains,ibra_darwin_coastal,ibra_davenport_murchison_ranges,ibra_desert_uplands,ibra_einasleigh_uplands,ibra_esperance_plains,ibra_eyre_yorke_block,ibra_finke,ibra_flinders_lofty_block,ibra_furneaux,ibra_gascoyne,ibra_gawler,ibra_geraldton_sandplains,ibra_great_sandy_desert,ibra_great_victoria_desert,ibra_gulf_coastal,ibra_gulf_fall_and_uplands,ibra_gulf_plains,ibra_hampton,ibra_indian_tropical_islands,ibra_jarrah_forest,ibra_kanmantoo,ibra_king,ibra_macdonnell_ranges,ibra_mallee,ibra_mitchell_grass_downs,ibra_mount_isa_inlier,ibra_mulga_lands,ibra_murchison,ibra_murray_darling_depression,ibra_nsw_north_coast,ibra_nsw_south_western_slopes,ibra_nandewar,ibra_naracoorte_coastal_plain,ibra_new_england_tablelands,ibra_northern_kimberley,ibra_nullarbor,ibra_ord_victoria_plain,ibra_pacific_subtropical_islands,ibra_pilbara,ibra_pine_creek,ibra_riverina,ibra_simpson_strzelecki_dunefields,ibra_south_east_coastal_plain,ibra_south_east_corner,ibra_south_eastern_highlands,ibra_south_eastern_queensland,ibra_southern_volcanic_plain,ibra_stony_plains,ibra_sturt_plateau,ibra_subantarctic_islands,ibra_swan_coastal_plain,ibra_sydney_basin,ibra_tanami,ibra_tasmanian_central_highlands,ibra_tasmanian_northern_midlands,ibra_tasmanian_northern_slopes,ibra_tasmanian_south_east,ibra_tasmanian_southern_ranges,ibra_tasmanian_west,ibra_tiwi_cobourg,ibra_victoria_bonaparte,ibra_victorian_midlands,ibra_warren,ibra_wet_tropics,ibra_yalgoo
2022,"Rabbit, European Rabbit",Oryctolagus cuniculus,Present,5754,Mammalia,1832.22,Medium,other_plant,,nocturnal,1.0,0.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False,False,False,True,False,True,True,False,True,False,True,True,False,True,True,True,True,False,False,False,False,False,True,True,False,True,False,True,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,False,False,False,True,True,True,False
2022,"Red Fox, Fox",Vulpes vulpes,Present,5485,Mammalia,5476.17,Medium,vert_warm,,nocturnal,1.0,0.0,2.0,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,True,True,False,True,True,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,True,True,True,True,True,False,True,True,False,False,False,False,False,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,True,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False
2022,Koala,Phascolarctos cinereus,Present,4897,Mammalia,10250.0,Large,other_plant,,nocturnal,1.0,0.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False
2022,Eastern Grey Kangaroo,Macropus giganteus,Present,3734,Mammalia,25875.0,Large,other_plant,,nocturnal,1.0,0.0,2.0,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,False,False,True,False,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False
2022,Swamp Wallaby,Wallabia bicolor,Present,3199,Mammalia,15000.0,Large,other_plant,,nocturnal,1.0,0.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
2022,Short-beaked Echidna,Tachyglossus aculeatus,Present,2894,Mammalia,3025.0,Medium,invertebrates,,nocturnal,1.0,0.0,2.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,False,True,False,True,True,False,False,False,True,True,False,False,False,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,False,False,False,True,False,True,True
2022,Western Grey Kangaroo,Macropus fuliginosus,Present,2280,Mammalia,22000.0,Large,other_plant,,nocturnal,1.0,0.0,2.0,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
2022,"Bare-nosed Wombat, Common Wombat",Vombatus ursinus,Present,1856,Mammalia,26000.0,Large,other_plant,,nocturnal,1.0,0.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False,False,False,True,False,True,False,True,True,True,True,False,False,True,False,False,False
2022,Platypus,Ornithorhynchus anatinus,Present,1337,Mammalia,1484.25,Medium,invertebrates,,nocturnal,1.0,0.0,3.0,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,False,True,False
2022,Southern Long-nosed Bandicoot,Perameles nasuta,Present,1267,Mammalia,975.0,Small,invertebrates,,nocturnal,1.0,0.0,1.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
